"time"		"shot"   "type"
"q1-11:00"	"missed" "3pt"
"q1-10:08"	"missed" "2pt"
"q1-08:58"	"missed" "ff"
"q1-08:58"	"missed" "ff"
"q1-06:33"	"missed" "2pt"
"q1-06:02"	"missed" "3pt"
"q1-05:11"	"made"	 "2pt"
"q1-03:37"	"missed" "3pt"
"q1-02:41"	"missed" "3pt"
"q1-02:23"	"made"	 "2pt"
"q1-01:10"	"missed" "2pt"
"q1-00:48"	"made"	 "2pt"
"q1-00:08"	"made"	 "2pt"
"q2-06:22"	"made"	 "2pt"
"q2-05:51"	"made"	 "2pt"
"q2-05:51"	"missed" "ff"
"q2-05:28"	"missed" "3pt"
"q2-04:23"	"made"	 "2pt"
"q2-03:39"	"made"	 "2pt"
"q2-03:00"	"missed" "2pt"
"q2-01:02"	"made"	 "2pt"
"q2-00:25"	"missed" "2pt"
"q2-00:10"	"missed" "3pt"
"q3-11:35"	"made"	 "3pt"
"q3-08:18"	"made"	 "ff"
"q3-08:18"	"made"	 "ff"
"q3-08:18"	"made"	 "ff"
"q3-07:03"	"missed" "3pt"
"q3-03:29"	"made"	 "ff"
"q3-03:29"	"made"	 "ff"
"q3-03:29"	"made"	 "ff"
"q3-02:16"	"made"	 "2pt"
"q3-01:47"	"missed" "2pt"
"q3-00:27"	"missed" "2pt"
"q3-00:03"	"made"	 "ff"
"q3-00:03"	"made"	 "ff"
"q4-06:52"	"made"	 "3pt"
"q4-05:38"	"made"	 "3pt"
"q4-04:26"	"missed" "3pt"




